,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
20502437,5.959396783,1.899566886,0.300660943,6.317970228,2.65E-10,4.24E-07
20503799,5.541950017,1.903076045,0.306377831,6.211533112,5.25E-10,4.24E-07
20501239,4.789685074,2.08727161,0.344269846,6.062894075,1.34E-09,7.21E-07
20532598,5.516804108,1.77546511,0.297800758,5.961922729,2.49E-09,1.01E-06
20532599,5.40245114,1.74099408,0.29744912,5.85308197,4.83E-09,1.56E-06
20503108,5.823111194,1.592304546,0.279946344,5.687891909,1.29E-08,3.47E-06
20501234,4.125775015,2.204480688,0.405600262,5.435106662,5.48E-08,1.27E-05
20532609,6.96669177,1.301779964,0.242408566,5.370189611,7.87E-08,1.59E-05
20532570,4.675535366,1.621549042,0.307493225,5.273446405,1.34E-07,2.41E-05
20532608,7.172511966,1.246201583,0.237464474,5.247949564,1.54E-07,2.49E-05
20502441,6.26650952,1.309059378,0.252447931,5.185462882,2.15E-07,2.55E-05
20502455,4.950274341,1.536249327,0.294259297,5.220733361,1.78E-07,2.55E-05
20503104,4.930400175,1.528500344,0.295017949,5.181041857,2.21E-07,2.55E-05
20532581,7.225865194,1.257070673,0.241496657,5.205333649,1.94E-07,2.55E-05
20532582,6.808495358,1.261799439,0.244297786,5.165005634,2.40E-07,2.59E-05
20504418,4.443048063,1.603322723,0.314982735,5.090192398,3.58E-07,3.40E-05
20532569,6.294508165,1.281314113,0.251446879,5.095764642,3.47E-07,3.40E-05
20503800,8.462026849,1.135412735,0.226544166,5.011882464,5.39E-07,4.50E-05
20503805,4.468661983,1.546569641,0.30891551,5.006448652,5.54E-07,4.50E-05
20532585,6.504719372,1.220946311,0.243920393,5.005511407,5.57E-07,4.50E-05
20505798,4.446005908,1.538080352,0.309412588,4.970968899,6.66E-07,4.77E-05
20532593,6.583050292,1.201809798,0.241368827,4.979142555,6.39E-07,4.77E-05
20532602,7.411105415,1.135318129,0.228545283,4.967585039,6.78E-07,4.77E-05
20501224,5.639592647,1.300956899,0.26261933,4.953774354,7.28E-07,4.90E-05
20504550,3.546473378,1.865181574,0.379334787,4.916980035,8.79E-07,5.68E-05
20503798,4.280635491,1.541854474,0.3160473,4.878556065,1.07E-06,6.65E-05
20504420,4.53897332,1.448298463,0.299381644,4.837632811,1.31E-06,7.87E-05
20532571,3.843460625,1.6519144,0.342935967,4.816976223,1.46E-06,8.42E-05
20532597,3.63439745,1.725474169,0.359346974,4.801693892,1.57E-06,8.77E-05
20502438,3.922223589,1.604618964,0.335679616,4.780209725,1.75E-06,9.44E-05
20504421,5.456819895,1.244128115,0.263699371,4.717979082,2.38E-06,0.000124248
20500785,3.412532697,1.800270392,0.382572234,4.705700603,2.53E-06,0.000127842
20532594,7.855122798,1.025916585,0.219456429,4.674807615,2.94E-06,0.000144172
20501240,4.013267217,1.498822445,0.323109102,4.638750299,3.51E-06,0.000166704
20503107,4.106396619,1.468450234,0.317412512,4.626314899,3.72E-06,0.000167193
20504218,7.932317053,1.078854761,0.232975991,4.630755112,3.64E-06,0.000167193
20532568,6.903292819,1.076272484,0.233558276,4.608153922,4.06E-06,0.000177547
20532572,6.857143297,1.064440013,0.231280919,4.602368489,4.18E-06,0.000177748
20500770,4.147351006,1.42122615,0.31114654,4.567706746,4.93E-06,0.000204442
20501232,3.41168254,2.003175895,0.440365024,4.548898723,5.39E-06,0.000210682
20503094,2.997106588,2.025625584,0.446088656,4.540858771,5.60E-06,0.000210682
20503103,5.208385096,1.208053125,0.265788879,4.545160541,5.49E-06,0.000210682
20532578,6.50866292,1.076509218,0.236332247,4.555066996,5.24E-06,0.000210682
20501244,7.433358952,1.019222763,0.225064632,4.528578094,5.94E-06,0.000218229
20501173,4.191395593,1.376161275,0.306092691,4.495897207,6.93E-06,0.000248936
20501281,5.958291468,1.105476797,0.246258574,4.489089581,7.15E-06,0.000251437
20502445,3.479387496,1.566738578,0.35667827,4.39258208,1.12E-05,0.00038537
20532616,4.404110911,1.278396231,0.291796761,4.381118654,1.18E-05,0.000397754
20501249,5.459662677,1.112537829,0.255197476,4.359517366,1.30E-05,0.000430154
20501284,3.230460021,1.710591587,0.394174397,4.339682134,1.43E-05,0.000461456
20503097,3.250076045,1.627423326,0.378278138,4.302187101,1.69E-05,0.000536211
20532579,7.181165688,0.956459292,0.223165411,4.285876064,1.82E-05,0.000566014
20500784,5.460530701,1.070413286,0.252271279,4.243104044,2.20E-05,0.000660123
20521836,1.803443071,-1.513369675,0.356384402,-4.246453175,2.17E-05,0.000660123
20504419,3.044171646,1.713816992,0.40549445,4.22648693,2.37E-05,0.000697862
20532575,4.77390932,1.151283358,0.272826809,4.219832212,2.44E-05,0.000705948
20500462,4.886576697,1.759369168,0.418615736,4.202826165,2.64E-05,0.0007478
20501172,3.899774535,1.314378351,0.3167701,4.14931318,3.33E-05,0.000921423
20503794,2.935871248,-1.206778712,0.290969025,-4.147447346,3.36E-05,0.000921423
20500455,3.560254897,1.442150108,0.352587489,4.090190809,4.31E-05,0.001161595
20532573,6.203558654,0.950001406,0.233398213,4.070302831,4.70E-05,0.001244615
20500450,4.780548025,1.103820083,0.272568382,4.049699659,5.13E-05,0.001337504
20533073,7.357859085,0.886242666,0.219937923,4.029512758,5.59E-05,0.001412161
20538252,7.357859085,0.886242666,0.219937923,4.029512758,5.59E-05,0.001412161
20501250,8.02355298,0.846257723,0.211614018,3.999062688,6.36E-05,0.001582019
20532574,6.226285927,0.922058059,0.231767976,3.978366974,6.94E-05,0.00170006
20502456,8.161472665,0.826846942,0.210086497,3.935745287,8.29E-05,0.002001675
20538253,7.364707526,0.828962774,0.216035816,3.837154369,0.000124468,0.002959781
20532567,5.684618947,0.906534626,0.239451109,3.785886108,0.000153162,0.003589314
20500773,7.506485974,0.808330938,0.215222066,3.755799553,0.000172789,0.003991425
20532592,2.812576004,1.479671672,0.396576275,3.731114962,0.000190634,0.004341627
20503873,2.654492939,1.825804389,0.49093883,3.719005863,0.000200008,0.004491856
20502235,4.122555148,1.054925675,0.287380657,3.670830481,0.000241764,0.00535523
20535260,3.115760012,1.295248822,0.355331197,3.64518746,0.000267197,0.005838615
20504584,3.59495643,-0.917556064,0.252797601,-3.629607485,0.000283853,0.00611986
20518794,3.116821063,-0.989879243,0.274750488,-3.602829796,0.000314772,0.006676536
20532591,2.534644607,1.516229096,0.421147311,3.600234538,0.00031793,0.006676536
20501228,6.675449201,0.787302943,0.220430955,3.571653276,0.000354735,0.007353926
20532563,6.615525102,0.774887849,0.220356822,3.516513993,0.000437254,0.008949862
20503811,4.017039056,1.004345537,0.288383953,3.482667903,0.000496444,0.009910489
20529134,2.821393609,1.307786655,0.375443745,3.483309213,0.000495256,0.009910489
20501242,3.787553927,-0.824235308,0.239891569,-3.435866096,0.000590663,0.011647583
20500771,9.714700017,0.676699154,0.198122356,3.415561817,0.000636506,0.01240036
20501230,2.650398602,1.485448427,0.44981271,3.302370954,0.000958712,0.018455204
20500486,8.934049023,0.649920716,0.199257639,3.261710406,0.001107422,0.021067078
20504433,5.141030621,0.799918096,0.246207423,3.248960107,0.001158277,0.021778305
20501300,2.996222631,1.150686413,0.355521225,3.236618046,0.001209552,0.022480981
20532589,9.922824645,0.623953194,0.194101808,3.21456662,0.001306416,0.024005393
20501229,5.187114958,0.776642222,0.246418184,3.151724477,0.001623093,0.029489238
20532590,10.02042208,0.603050327,0.192188021,3.137814339,0.001702127,0.03058154
20504188,2.661305081,1.190097233,0.382734893,3.109455799,0.001874323,0.033305283
20500132,7.319320694,0.657560111,0.212668016,3.091955833,0.001988424,0.034572926
20501252,3.647069864,0.949025896,0.306705104,3.094261828,0.001973033,0.034572926
20538247,7.397827202,0.65454695,0.212560616,3.079342553,0.00207458,0.035687189
20501175,1.85004511,1.504329136,0.493447077,3.04861292,0.002299005,0.038723864
20534822,4.286982356,0.816615232,0.267853252,3.048741149,0.002298024,0.038723864
20502367,1.880628096,1.687154643,0.554272918,3.043905971,0.002335281,0.038929378
20500440,4.022408075,0.845289049,0.280143311,3.017345114,0.002549993,0.042074887
20538248,7.147561748,0.641793222,0.213358576,3.008049799,0.0026293,0.042945241
20532722,4.353136084,0.798792211,0.265887835,3.004245044,0.002662408,0.043051137
20518783,1.891888775,-1.068736489,0.357496478,-2.989502151,0.002794325,0.044736863
20501177,4.693002288,0.750870114,0.25338773,2.963324679,0.003043354,0.048246108
20503101,4.863043655,0.73862037,0.250403521,2.949720389,0.003180616,0.049932589
